iter	Passed	Remaining
0	14	143078
1	23	119186
2	33	113207
3	43	108314
4	52	103979
5	61	102707
6	70	100800
7	79	99313
8	88	98269
9	97	97675
10	106	97148
11	115	96260
12	124	95597
13	133	95265
14	142	94712
15	151	94358
16	160	94011
17	168	93598
18	177	93255
19	186	92875
20	194	92561
21	203	92258
22	211	91839
23	220	91589
24	228	91351
25	237	91019
26	245	90750
27	253	90451
28	262	90166
29	270	89909
30	278	89561
31	286	89365
32	294	89065
33	302	88752
34	310	88495
35	318	88223
36	326	87934
37	334	87700
38	342	87494
39	350	87297
40	358	87041
41	366	86825
42	374	86690
43	382	86616
44	390	86382
45	398	86325
46	407	86217
47	415	86162
48	423	86089
49	431	85900
50	440	85875
51	448	85803
52	456	85711
53	464	85585
54	472	85509
55	480	85343
56	488	85249
57	496	85055
58	504	84949
59	511	84750
60	519	84608
61	527	84505
62	534	84299
63	542	84297
64	551	84265
65	558	84077
66	565	83902
67	573	83832
68	581	83672
69	589	83693
70	597	83624
71	605	83488
72	613	83375
73	621	83379
74	630	83399
75	637	83303
76	645	83240
77	654	83266
78	662	83185
79	670	83148
80	678	83093
81	685	82960
82	694	82920
83	701	82816
84	709	82771
85	717	82709
86	726	82752
87	734	82747
88	742	82717
89	750	82683
90	758	82647
91	766	82570
92	775	82576
93	783	82534
94	790	82468
95	798	82418
96	806	82356
97	814	82338
98	822	82289
99	830	82212
100	838	82197
101	846	82134
102	854	82116
103	863	82125
104	871	82100
105	878	81995
106	886	81921
107	894	81915
108	902	81857
109	910	81820
110	918	81798
111	925	81733
112	933	81669
113	941	81610
114	948	81559
115	956	81506
116	964	81463
117	972	81419
118	979	81366
119	987	81335
120	995	81294
121	1003	81219
122	1011	81186
123	1018	81153
124	1027	81145
125	1034	81094
126	1042	81076
127	1051	81094
128	1059	81089
129	1067	81070
130	1075	80990
131	1082	80943
132	1090	80897
133	1098	80855
134	1105	80805
135	1113	80758
136	1121	80729
137	1129	80715
138	1137	80694
139	1145	80667
140	1153	80651
141	1162	80681
142	1170	80682
143	1178	80685
144	1186	80663
145	1194	80653
146	1203	80666
147	1211	80626
148	1218	80591
149	1226	80556
150	1235	80553
151	1243	80536
152	1251	80550
153	1259	80526
154	1267	80503
155	1275	80473
156	1283	80487
157	1291	80453
158	1299	80412
159	1307	80415
160	1315	80366
161	1322	80337
162	1330	80298
163	1338	80265
164	1346	80258
165	1354	80217
166	1362	80197
167	1369	80175
168	1377	80151
169	1385	80133
170	1393	80109
171	1401	80073
172	1409	80050
173	1416	80009
174	1424	79999
175	1433	80000
176	1441	79997
177	1449	79983
178	1457	79954
179	1465	79942
180	1472	79899
181	1481	79913
182	1489	79904
183	1497	79900
184	1505	79896
185	1514	79900
186	1522	79893
187	1530	79879
188	1538	79861
189	1546	79835
190	1554	79839
191	1563	79848
192	1570	79821
193	1578	79787
194	1586	79786
195	1595	79805
196	1603	79798
197	1611	79781
198	1620	79789
199	1627	79764
200	1635	79752
201	1643	79733
202	1651	79713
203	1659	79690
204	1667	79672
205	1675	79659
206	1683	79656
207	1691	79653
208	1699	79635
209	1708	79630
210	1716	79655
211	1724	79619
212	1732	79589
213	1740	79581
214	1747	79546
215	1756	79540
216	1763	79517
217	1771	79506
218	1780	79501
219	1787	79463
220	1795	79464
221	1804	79460
222	1812	79451
223	1820	79439
224	1828	79436
225	1837	79478
226	1846	79487
227	1854	79484
228	1862	79482
229	1871	79485
230	1879	79496
231	1887	79472
232	1895	79449
233	1902	79411
234	1911	79409
235	1919	79410
236	1928	79426
237	1935	79408
238	1944	79405
