pv_measurement,year,month,day,hour,location_A,location_B,location_C
0.0,2019,6,2,22,True,False,False
0.0,2019,6,2,23,True,False,False
0.0,2019,6,3,0,True,False,False
0.0,2019,6,3,1,True,False,False
19.36,2019,6,3,2,True,False,False
251.02,2019,6,3,3,True,False,False
263.78000000000003,2019,6,3,4,True,False,False
522.72,2019,6,3,5,True,False,False
904.42,2019,6,3,6,True,False,False
1238.8200000000002,2019,6,3,7,True,False,False
2189.8799999999997,2019,6,3,8,True,False,False
3047.2200000000003,2019,6,3,9,True,False,False
2163.26,2019,6,3,10,True,False,False
2686.64,2019,6,3,11,True,False,False
3175.92,2019,6,3,12,True,False,False
2730.86,2019,6,3,13,True,False,False
2093.96,2019,6,3,14,True,False,False
2774.2,2019,6,3,15,True,False,False
1833.48,2019,6,3,16,True,False,False
1057.54,2019,6,3,17,True,False,False
340.12,2019,6,3,18,True,False,False
48.4,2019,6,3,19,True,False,False
12.540000000000001,2019,6,3,20,True,False,False
0.0,2019,6,3,21,True,False,False
0.0,2019,6,3,22,True,False,False
0.0,2019,6,3,23,True,False,False
0.0,2019,6,4,0,True,False,False
6.38,2019,6,4,1,True,False,False
117.04,2019,6,4,2,True,False,False
305.58,2019,6,4,3,True,False,False
805.42,2019,6,4,4,True,False,False
1556.94,2019,6,4,5,True,False,False
2812.04,2019,6,4,6,True,False,False
2807.6400000000003,2019,6,4,7,True,False,False
4561.26,2019,6,4,8,True,False,False
4812.06,2019,6,4,9,True,False,False
4766.52,2019,6,4,10,True,False,False
4339.719999999999,2019,6,4,11,True,False,False
2464.0,2019,6,4,12,True,False,False
2361.0400000000004,2019,6,4,13,True,False,False
1921.92,2019,6,4,14,True,False,False
1918.1799999999998,2019,6,4,15,True,False,False
681.34,2019,6,4,16,True,False,False
226.38,2019,6,4,17,True,False,False
235.84,2019,6,4,18,True,False,False
220.21999999999997,2019,6,4,19,True,False,False
38.94,2019,6,4,20,True,False,False
0.0,2019,6,4,21,True,False,False
0.0,2019,6,4,22,True,False,False
0.0,2019,6,4,23,True,False,False
0.0,2019,6,5,0,True,False,False
10.780000000000001,2019,6,5,1,True,False,False
104.28,2019,6,5,2,True,False,False
284.24,2019,6,5,3,True,False,False
807.84,2019,6,5,4,True,False,False
1336.28,2019,6,5,5,True,False,False
1399.4199999999998,2019,6,5,6,True,False,False
1189.76,2019,6,5,7,True,False,False
1719.74,2019,6,5,8,True,False,False
1232.44,2019,6,5,9,True,False,False
1139.6,2019,6,5,10,True,False,False
972.1800000000001,2019,6,5,11,True,False,False
1572.56,2019,6,5,12,True,False,False
3044.8,2019,6,5,13,True,False,False
2132.02,2019,6,5,14,True,False,False
1995.4,2019,6,5,15,True,False,False
343.42,2019,6,5,16,True,False,False
0.0,2019,6,5,17,True,False,False
0.0,2019,6,5,18,True,False,False
0.0,2019,6,5,19,True,False,False
0.0,2019,6,5,20,True,False,False
0.0,2019,6,5,21,True,False,False
0.0,2019,6,5,22,True,False,False
0.0,2019,6,5,23,True,False,False
0.0,2019,6,6,0,True,False,False
0.0,2019,6,6,1,True,False,False
0.0,2019,6,6,2,True,False,False
0.0,2019,6,6,3,True,False,False
0.0,2019,6,6,4,True,False,False
0.0,2019,6,6,5,True,False,False
